shortsymbols,vmsize,filesize
_$LT$android_logger..platform_log_writer..PlatformLogWriter$u20$as$u20$core..fmt..Write$GT$::write_str::hc5d81f252ffc2eee,600,778
_$LT$capture..jni..StreamHandle$u20$as$u20$core..ops..drop..Drop$GT$::drop::hcd8dd4752080ef27,628,778
alloc::sync::Arc$LT$T$C$A$GT$::drop_slow::hdd24ab35f354a9c9,664,778
bd_client_stats::file_manager::InitializedInner::delete_oldest_snapshot::_$u7b$$u7b$closure$u7d$$u7d$::h69d88390c5499860,600,778
bd_workflows::sankey_diagram::ProcessedIntents::insert::ha9359396b93d8731,648,778
bd_matcher::matcher::Tree::do_match::hd81bc42c3402d3f5,668,777
core::ptr::drop_in_place$LT$regex_automata..hybrid..dfa..Cache$GT$::hb9452ac3e34091bd,636,777
core::ptr::drop_in_place$LT$regex_automata..hybrid..dfa..Cache$GT$::hdebd577efa2480ad,636,777
regex_syntax::unicode::gcb::h15a472e5dda6e637,676,777
tokio::sync::mpsc::list::Rx$LT$T$GT$::pop::h11edca27f4dec35f,664,777
tokio::sync::mpsc::list::Rx$LT$T$GT$::pop::h774244150ffc12c5,664,777
bd_client_stats_store::Histogram::merge_from::hc650dfcc764efa5d,656,776
bd_crash_handler::json_extractor::JsonExtractor::get::h89bc30cb68461ae4,648,776
bd_logger::consumer::CompleteBufferUpload::flush_batch::_$u7b$$u7b$closure$u7d$$u7d$::h1c93573f5c26e8a0,616,775
_$LT$bd_proto..protos..config..v1..config..BufferConfig$u20$as$u20$protobuf..message..Message$GT$::write_to_with_cached_sizes::h7f5b5e2194f578fc,572,774
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::h5291f8225fd609bd,648,774
core::ptr::drop_in_place$LT$bd_artifact_upload..uploader..Uploader..run_inner..$u7b$$u7b$closure$u7d$$u7d$$GT$::h078a632fe0b7c45d,588,773
_$LT$bd_proto..protos..client..api..stats_upload_request..Snapshot$u20$as$u20$protobuf..message..Message$GT$::compute_size::ha10e1298871b28db,572,772
aho_corasick::nfa::noncontiguous::NFA::add_transition::h1da58c525f774ff0,644,772
regex_automata::nfa::thompson::range_trie::RangeTrie::clear::h653a7535f0dd289d,640,772
regex_syntax::unicode::sb::h42347a04315a003e,672,772
_$LT$regex_automata..util..prefilter..memchr..Memchr2$u20$as$u20$regex_automata..util..prefilter..PrefilterI$GT$::find::ha82e0337b8d25aa5,576,771
regex_automata::nfa::thompson::pikevm::ActiveStates::reset::heece561f09204ad7,640,771
alloc::collections::btree::node::Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Internal$GT$$C$alloc..collections..btree..node..marker..KV$GT$::split::h2b4c2e0fcd78a1cc,444,770
alloc::collections::btree::node::Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Internal$GT$$C$alloc..collections..btree..node..marker..KV$GT$::split::h8915897ba8036d80,444,770
alloc::collections::btree::node::Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Internal$GT$$C$alloc..collections..btree..node..marker..KV$GT$::split::hbf0c647b7022caa4,444,770
core::ptr::drop_in_place$LT$alloc..boxed..Box$LT$tokio..runtime..task..core..Cell$LT$tokio..runtime..blocking..task..BlockingTask$LT$tokio..fs..write..write$LT$std..path..PathBuf$C$$RF$$u5b$u8$u5d$$GT$..$u7b$$u7b$closure$u7d$$u7d$..$u7b$$u7b$closure$u7d$$u7d$$GT$$C$tokio..runtime..blocking..schedule..BlockingSchedule$GT$$GT$$GT$::hdeffba24ac6ed731,364,770
_$LT$core..iter..adapters..flatten..FlatMap$LT$I$C$U$C$F$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::next::h631a8674261e5dba,572,769
core::ptr::drop_in_place$LT$bd_proto..protos..client..api..stats_upload_request..Snapshot$GT$::h87887cf1ffecdc83,600,768
core::ptr::drop_in_place$LT$bd_proto..protos..client..api..stats_upload_request..Snapshot$GT$::hf82ad0e193f21951,600,768
protobuf::coded_input_stream::CodedInputStream::read_repeated_packed_double_into::h28b1917d1c047226,612,768
std::io::Write::write_all_vectored::h40d8198df89d4f5b,660,768
_$LT$bd_proto..protos..client..api..HandshakeRequest$u20$as$u20$protobuf..message..Message$GT$::write_to_with_cached_sizes::h7dad25d3670adffd,568,767
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::h31d860306c8b2d74,640,766
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::h5b7c45f590c3727b,640,766
_$LT$T$u20$as$u20$alloc..vec..spec_from_elem..SpecFromElem$GT$::from_elem::h1ee1b8787afc3b5d,616,765
jni::wrapper::jnienv::JNIEnv::convert_byte_array::h0a9d3a513201e18d,644,765
_$LT$aho_corasick..util..prefilter..StartBytesTwo$u20$as$u20$aho_corasick..util..prefilter..PrefilterI$GT$::find_in::hc744233b1714c901,572,764
bd_client_common::file::read_compressed_protobuf::h6396c58abeee29a0,640,764
core::ptr::drop_in_place$LT$alloc..boxed..Box$LT$tokio..runtime..task..core..Cell$LT$tokio..runtime..blocking..task..BlockingTask$LT$tokio..fs..write..write$LT$$RF$std..path..Path$C$$RF$str$GT$..$u7b$$u7b$closure$u7d$$u7d$..$u7b$$u7b$closure$u7d$$u7d$$GT$$C$tokio..runtime..blocking..schedule..BlockingSchedule$GT$$GT$$GT$::h7282a97da9bf8d4b,364,762
core::ptr::drop_in_place$LT$alloc..boxed..Box$LT$tokio..runtime..task..core..Cell$LT$tokio..runtime..blocking..task..BlockingTask$LT$tokio..fs..write..write$LT$$RF$std..path..Path$C$$RF$str$GT$..$u7b$$u7b$closure$u7d$$u7d$..$u7b$$u7b$closure$u7d$$u7d$$GT$$C$tokio..runtime..blocking..schedule..BlockingSchedule$GT$$GT$$GT$::he4ff0f2101d3d3c4,364,762
_$LT$bd_buffer..buffer..non_volatile_ring_buffer..ConsumerImpl$u20$as$u20$bd_buffer..buffer..RingBufferConsumer$GT$::start_read::h8d98ff559915d609,556,761
bd_logger::service::ratelimit::try_acquire_ratelimit_permit::h78bceb2e37c402e4,628,761
core::slice::sort::stable::tiny::mergesort::hca1f8c5e24704bb1,648,761
regex_automata::meta::strategy::Core::search_nofail::h8c6620869fd15c9c,636,761
[section .got.plt],760,760
bd_logger::logger::LoggerHandle::log_resource_utilization::hdaaaf5a4ace1776b,628,760
tokio::runtime::time::Driver::park_internal::h9efeec540787b49a,644,760
core::ptr::drop_in_place$LT$core..option..Option$LT$core..iter..adapters..map..Map$LT$std..collections..hash..map..IntoIter$LT$alloc..collections..btree..map..BTreeMap$LT$alloc..string..String$C$alloc..string..String$GT$$C$bd_client_stats_store..MetricData$GT$$C$bd_client_stats..stats..SnapshotHelper..into_proto..$u7b$$u7b$closure$u7d$$u7d$..$u7b$$u7b$closure$u7d$$u7d$$GT$$GT$$GT$::hbd7ca004585213fd,300,759
tokio::process::imp::GlobalOrphanQueue::reap_orphans::hc6c79de1ba2864df,632,758
aho_corasick::nfa::noncontiguous::Compiler::new::hb0bad4969414df0b,636,757
bd_key_value::Store::set_internal::h49ce01927cb5cc3d,648,757
regex_automata::meta::reverse_inner::prefilter::h0804f20076de2d16,636,757
std::sys::sync::once::futex::Once::call::h2325e5053d62bcb8,648,757
alloc::string::String::from_utf8_lossy::h30d4c4a8c9b8c5b1,644,756
bd_completion::Receiver$LT$T$GT$::recv::_$u7b$$u7b$closure$u7d$$u7d$::h6fdc09a852412c33,612,756
core::ptr::drop_in_place$LT$alloc..boxed..Box$LT$tokio..runtime..task..core..Cell$LT$tokio..runtime..blocking..task..BlockingTask$LT$tokio..runtime..scheduler..multi_thread..worker..Launch..launch..$u7b$$u7b$closure$u7d$$u7d$$GT$$C$tokio..runtime..blocking..schedule..BlockingSchedule$GT$$GT$$GT$::h393bb2ffd0d42d9a,384,756
core::ptr::drop_in_place$LT$alloc..collections..btree..set..BTreeSet$LT$alloc..borrow..Cow$LT$str$GT$$GT$$GT$::h0c85414851e6952f,572,756
core::ptr::drop_in_place$LT$alloc..collections..btree..set..BTreeSet$LT$alloc..borrow..Cow$LT$str$GT$$GT$$GT$::hfa1d51be4d0f0a3d,572,756
core::ptr::drop_in_place$LT$bd_proto..protos..client..api..ApiRequest$GT$::hb6f95bf8bcd455c2,608,756
core::ptr::drop_in_place$LT$flate2..zlib..write..ZlibDecoder$LT$alloc..vec..Vec$LT$u8$GT$$GT$$GT$::h7bdeb6a18898c1fb,584,756
bd_buffer::buffer::common_ring_buffer::LockedData$LT$ExtraLockedData$GT$::finish_read_common::hce05e26af9e923a1,588,755
core::str::converts::from_utf8::hdca512f8086d59ca,652,755
bd_buffer::buffer::aggregate_ring_buffer::SharedData::flush_thread_func::he714f737299bbd04,608,754
bd_logger::network::get_int_field_value::hc3347a212218897a,640,754
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::hae6fdbb14207ae0d,628,754
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::hd6fb861c88f12600,628,754
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::he49252941d8165eb,628,754
bd_buffer::buffer::common_ring_buffer::CommonRingBuffer$LT$ExtraLockedData$GT$::new::hf976cff1cee1c936,596,753
_$LT$tokio..time..sleep..Sleep$u20$as$u20$core..future..future..Future$GT$::poll::ha60723d4265dc99d,596,752
core::unicode::printable::is_printable::h17f383a0b1278067,640,752
core::fmt::Formatter::pad_formatted_parts::h4d3f81a2db438793,636,751
protobuf::unknown::UnknownFields::find_field::hea8e819fdff86bb0,632,751
regex_syntax::ast::ClassAsciiKind::from_name::h3893603ec3b84220,632,751
_$LT$bd_buffer..buffer..non_volatile_ring_buffer..CursorConsumerImpl$u20$as$u20$core..ops..drop..Drop$GT$::drop::hc8f44a43a8df728f,408,750
core::ptr::drop_in_place$LT$$LP$bd_runtime..runtime..Watch$LT$alloc..string..String$C$bd_runtime..runtime..crash_handling..CrashDirectories$GT$..changed..$u7b$$u7b$closure$u7d$$u7d$$C$bd_runtime..runtime..Watch$LT$alloc..string..String$C$bd_runtime..runtime..crash_handling..CrashReasonPaths$GT$..changed..$u7b$$u7b$closure$u7d$$u7d$$C$bd_shutdown..ComponentShutdown..cancelled..$u7b$$u7b$closure$u7d$$u7d$$RP$$GT$::h4acb85a71b2cc033,260,750
core::ptr::drop_in_place$LT$bd_client_stats..stats..Flusher$GT$::h862efb735c00ca43,612,750
core::ptr::drop_in_place$LT$bd_client_stats..stats..Flusher$GT$::hc26630efd3cf4ecf,612,750
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::h99c654f5d34c5530,624,750
_$LT$core..iter..adapters..map..Map$LT$I$C$F$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::next::hf809672a20f1e3c3,564,749
core::slice::sort::stable::tiny::mergesort::hde3ef5c22b4bba08,636,749
jni::wrapper::jnienv::JNIEnv::find_class::hbdfa2801bdaeeec0,636,749
jni::wrapper::jnienv::JNIEnv::find_class::hd1b310f9daad5530,636,749
jni::wrapper::jnienv::JNIEnv::new_string::hb4a7128ef2f4656b,636,749
jni::wrapper::jnienv::JNIEnv::new_string::hfca628b8bc4ea99e,636,749
tokio::sync::mpsc::bounded::Sender$LT$T$GT$::try_send::h4d0ac7def0c38e1d,624,749
tokio::sync::mpsc::list::Rx$LT$T$GT$::pop::h7900059c250f6fb0,636,749
_$LT$bd_proto..protos..client..api..ConfigurationUpdate$u20$as$u20$protobuf..message..Message$GT$::merge_from::h88d0188839b9f691,560,746
_$LT$bd_proto..protos..client..runtime..Runtime$u20$as$u20$protobuf..message..Message$GT$::write_to_with_cached_sizes::h16c6362984a55573,552,746
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::h0e9da36490a50652,620,746
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::h49f4a419a5fc5e3e,620,746
regex_syntax::hir::interval::IntervalSet$LT$I$GT$::canonicalize::hbeb337579e8ec516,608,746
core::slice::sort::stable::tiny::mergesort::hc38e3adb5f3d5fd6,632,745
flatbuffers::builder::FlatBufferBuilder$LT$A$GT$::create_vector_from_iter::h1a44ac3511712e34,596,745
regex_syntax::unicode::canonical_prop::hbb68ded43284ce68,632,745
std::sys::fs::exists::hb4942aff31110b2c,652,745
tokio::runtime::scheduler::multi_thread::worker::Context::run_task::h6bd81a7f3278dc72,608,745
core::ptr::drop_in_place$LT$alloc..collections..btree..set..BTreeSet$LT$alloc..string..String$GT$$GT$::h3fef445f9d162dea,568,744
core::ptr::drop_in_place$LT$alloc..collections..btree..set..BTreeSet$LT$alloc..string..String$GT$$GT$::h4848dc30365c39a6,568,744
rustc_demangle::v0::Printer::print_const_uint::h8dfc1aab047704e0,624,744
_$LT$bd_buffer..buffer..non_volatile_ring_buffer..RingBufferImpl$u20$as$u20$bd_buffer..buffer..RingBuffer$GT$::register_producer::h3f6e80822bbb1113,536,742
_$LT$bd_proto..protos..workflow..workflow..workflow..TransitionTimeout$u20$as$u20$protobuf..message..Message$GT$::merge_from::h2a8e70eeaaac8e94,540,742
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::h8c8c0f3a1e981fe4,616,742
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::he76075d6b35752ba,616,742
parking_lot_core::parking_lot::ThreadData::new::h3ba6997648c615c4,620,742
sketches_rust::sketch::DDSketch::merge_with::hfb5b6d824e5df6ea,624,742
_$LT$tokio..sync..notify..Notified$u20$as$u20$core..ops..drop..Drop$GT$::drop::h39d90b9295958fcb,588,741
capture::jni::initialize_class::h1be41bfe1ad718cd,636,741
core::iter::adapters::map::map_fold::_$u7b$$u7b$closure$u7d$$u7d$::h8e4c3a775d1ecdb4,604,741
core::slice::sort::stable::tiny::mergesort::h4f9dc5c60627baea,628,741
tokio::sync::watch::Receiver$LT$T$GT$::changed::_$u7b$$u7b$closure$u7d$$u7d$::h20cf30b8539ec061,592,741
tokio::sync::watch::Receiver$LT$T$GT$::changed::_$u7b$$u7b$closure$u7d$$u7d$::h241acce4641a334c,592,741
tokio::sync::watch::Receiver$LT$T$GT$::changed::_$u7b$$u7b$closure$u7d$$u7d$::h7e647b95d973ec55,592,741
tokio::sync::watch::Receiver$LT$T$GT$::changed::_$u7b$$u7b$closure$u7d$$u7d$::h83805aa84ba424d7,592,741
tokio::sync::watch::Receiver$LT$T$GT$::changed::_$u7b$$u7b$closure$u7d$$u7d$::h98f333c310d2a378,592,741
tokio::sync::watch::Receiver$LT$T$GT$::changed::_$u7b$$u7b$closure$u7d$$u7d$::ha4b12439b2c5801a,592,741
_$LT$core..slice..iter..Iter$LT$T$GT$$u20$as$u20$core..iter..traits..iterator..Iterator$GT$::fold::hfd5fb2c2aef54a7c,564,737
core::ptr::drop_in_place$LT$bd_client_common..safe_file_cache..SafeFileCache$LT$bd_proto..protos..client..api..ConfigurationUpdate$GT$..handle_cached_config..$u7b$$u7b$closure$u7d$$u7d$$GT$::h681e59ecba17ac32,472,737
regex_syntax::ast::parse::ParserI$LT$P$GT$::parse_flag::hfa6745e9838bf4b4,608,737
tokio::sync::mpsc::list::Rx$LT$T$GT$::pop::h1657ed85bc225e5a,624,737
tokio::sync::mpsc::list::Rx$LT$T$GT$::pop::h3b8c8720e016aff2,624,737
tokio::sync::mpsc::list::Rx$LT$T$GT$::pop::h791fab63f757abf6,624,737
_$LT$bd_proto..protos..client..api..configuration_update..StateOfTheWorld$u20$as$u20$protobuf..message..Message$GT$::compute_size::h507f2e82f5253984,528,735
_$LT$bd_proto..protos..config..v1..config..log_matcher..base_log_matcher..MessageMatch$u20$as$u20$protobuf..message..Message$GT$::merge_from::hb98673b5891fed5a,316,735
core::hash::BuildHasher::hash_one::h2ad2464ed6c568e2,628,735
core::hash::BuildHasher::hash_one::ha9be237932a786e2,628,735
tokio::runtime::task::raw::poll::hcc603c1ebc4326c9,632,735
regex_automata::meta::wrappers::HybridEngine::try_which_overlapping_matches::h4df5fda195c729fd,584,734
_$LT$bd_proto..protos..client..matcher..matcher..SemVerMatch$u20$as$u20$protobuf..message..Message$GT$::merge_from::h7fdd2d0d0be35a3f,376,733
_$LT$bd_proto..protos..workflow..workflow..workflow..action..ActionEmitSankeyDiagram$u20$as$u20$protobuf..message..Message$GT$::merge_from::h234a350835c2193c,516,732
_$LT$regex_automata..meta..strategy..ReverseInner$u20$as$u20$regex_automata..meta..strategy..Strategy$GT$::reset_cache::h3be40a30a0660e76,536,732
core::ptr::drop_in_place$LT$std..thread..Builder..spawn_unchecked_$LT$tokio..runtime..blocking..pool..Spawner..spawn_thread..$u7b$$u7b$closure$u7d$$u7d$$C$$LP$$RP$$GT$..$u7b$$u7b$closure$u7d$$u7d$$GT$::h2bd6471f815b1de4,456,732
flatbuffers::builder::FlatBufferBuilder$LT$A$GT$::create_byte_string::hadfda75587633313,588,732
_$LT$regex_syntax..hir..translate..TranslatorI$u20$as$u20$regex_syntax..ast..visitor..Visitor$GT$::visit_class_set_binary_op_in::hd62ff8aba94f28f9,348,730
alloc::collections::btree::node::Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Internal$GT$$C$alloc..collections..btree..node..marker..KV$GT$::split::h125280c2fe0c6e8a,404,730
std::io::Write::write_all::h772bcf1132ae20dc,632,730
core::str::_$LT$impl$u20$str$GT$::trim_matches::h335f27d6b439f4e7,608,729
_$LT$thread_local..thread_id..ThreadGuard$u20$as$u20$core..ops..drop..Drop$GT$::drop::h2bd12e1ef64cd259,568,728
bd_crash_handler::json_extractor::JsonExtractor::new::h1f3b73a9fe5b2326,600,728
std::path::Path::_strip_prefix::h54c4e45f6645c407,624,728
tokio::sync::notify::Notify::notify_one::h1b06e44d02cf8fd5,616,728
_$LT$protobuf..well_known_types..timestamp..Timestamp$u20$as$u20$protobuf..message..Message$GT$::merge_from::h20b6a640fb4b3b25,388,727
_$LT$regex_automata..meta..strategy..Core$u20$as$u20$regex_automata..meta..strategy..Strategy$GT$::search_half::h570806367a43a825,540,727
rustc_demangle::v0::Parser::ident::hbd88097a6c09845f,620,727
tokio::runtime::scheduler::multi_thread::worker::_$LT$impl$u20$tokio..runtime..task..Schedule$u20$for$u20$alloc..sync..Arc$LT$tokio..runtime..scheduler..multi_thread..handle..Handle$GT$$GT$::release::h2139f8b361fefce9,456,727
hashbrown::map::HashMap$LT$K$C$V$C$S$C$A$GT$::insert::h40a44bbdbcdc9786,600,726
core::ptr::drop_in_place$LT$alloc..collections..btree..set..BTreeSet$LT$bd_workflows..sankey_diagram..PendingSankeyPathUpload$GT$$GT$::h48fec0b0a3f71847,516,725
core::ptr::drop_in_place$LT$alloc..collections..btree..set..BTreeSet$LT$bd_workflows..sankey_diagram..PendingSankeyPathUpload$GT$$GT$::he94dfc0e6af38fc5,516,725
core::ptr::drop_in_place$LT$core..option..Option$LT$bd_runtime..runtime..InternalWatchKind$GT$$GT$::h147db77df39e1f93,552,725
core::ptr::drop_in_place$LT$core..option..Option$LT$bd_runtime..runtime..InternalWatchKind$GT$$GT$::h5214f5f4cdb22983,552,725
core::ptr::drop_in_place$LT$core..option..Option$LT$bd_runtime..runtime..InternalWatchKind$GT$$GT$::h71001747439bbe8b,552,725
core::ptr::drop_in_place$LT$core..option..Option$LT$bd_runtime..runtime..InternalWatchKind$GT$$GT$::h85253597da03c8bb,552,725
core::ptr::drop_in_place$LT$core..option..Option$LT$bd_runtime..runtime..InternalWatchKind$GT$$GT$::h89c6d9fc25f07a99,552,725
jni::wrapper::jnienv::JNIEnv::new_string::hf06871f94dd1dbec,612,725
tokio::sync::mpsc::list::Rx$LT$T$GT$::pop::hace27292d13e39fa,612,725
tokio::sync::mpsc::list::Rx$LT$T$GT$::pop::hea4139b40c1adeab,612,725
core::ptr::drop_in_place$LT$bd_logger..logger..Logger$GT$::h77e93a421504243f,592,724
core::ptr::drop_in_place$LT$bd_client_common..safe_file_cache..SafeFileCache$LT$bd_proto..protos..client..api..RuntimeUpdate$GT$..handle_cached_config..$u7b$$u7b$closure$u7d$$u7d$$GT$::h6f4211a8ce9447d3,464,723
regex_automata::nfa::thompson::compiler::Utf8Compiler::new::hd75bb99ceac576da,592,723
_$LT$aho_corasick..dfa..DFA$u20$as$u20$aho_corasick..automaton..Automaton$GT$::start_state::h6b2b971892853d65,388,722
_$LT$aho_corasick..nfa..contiguous..NFA$u20$as$u20$aho_corasick..automaton..Automaton$GT$::match_pattern::hc7a4e66377341960,360,722
_$LT$anyhow..fmt..Indented$LT$T$GT$$u20$as$u20$core..fmt..Write$GT$::write_str::h11532e50883121b9,568,722
bd_workflows::engine::WorkflowsState::optimized::hb872672a00ef8657,600,722
core::ptr::drop_in_place$LT$tower..util..map_future..MapFuture$LT$bd_logger..service..ratelimit..RateLimit$LT$tower..retry..Retry$LT$bd_logger..service..RetryPolicy$C$bd_logger..service..Uploader$GT$$GT$$C$tower..util..boxed_clone..BoxCloneService$LT$bd_logger..service..UploadRequest$C$bd_logger..service..UploadResult$C$core..convert..Infallible$GT$..new$LT$bd_logger..service..ratelimit..RateLimit$LT$tower..retry..Retry$LT$bd_logger..service..RetryPolicy$C$bd_logger..service..Uploader$GT$$GT$$GT$..$u7b$$u7b$closure$u7d$$u7d$$GT$$GT$::h287f05ca7a77597d,108,722
core::ptr::drop_in_place$LT$$LP$bd_stats_common..NameType$C$std..collections..hash..map..HashMap$LT$alloc..collections..btree..map..BTreeMap$LT$alloc..string..String$C$alloc..string..String$GT$$C$bd_client_stats_store..MetricData$GT$$RP$$GT$::he6adb6e082eed86a,404,721
_$LT$alloc..boxed..Box$LT$T$C$A$GT$$u20$as$u20$core..clone..Clone$GT$::clone::ha699fdedea37dcad,568,720
bd_runtime::runtime::Snapshot::get_string::h0d834a2461ef261d,604,720
alloc::raw_vec::RawVec$LT$T$C$A$GT$::grow_one::h0afcc590d310d4a8,232,719
core::ptr::drop_in_place$LT$tokio..runtime..scheduler..current_thread..CoreGuard$GT$::he4e0b380d508aaa8,560,719
_$LT$ahash..hash_map..AHashMap$LT$K$C$V$GT$$u20$as$u20$core..iter..traits..collect..FromIterator$LT$$LP$K$C$V$RP$$GT$$GT$::from_iter::hab50b4dec3b824d7,508,717
_$LT$bincode..features..serde..ser..SerdeEncoder$LT$ENC$GT$$u20$as$u20$serde..ser..SerializeStruct$GT$::serialize_field::h7fc0c98360eed356,520,717
_$LT$bincode..features..serde..ser..SerdeEncoder$LT$ENC$GT$$u20$as$u20$serde..ser..SerializeStruct$GT$::serialize_field::hf71e818f5e2bbb3b,520,717
aho_corasick::nfa::noncontiguous::Compiler::densify::h1f36286a2d3bdfb7,592,717
core::slice::sort::stable::tiny::mergesort::hc2c58afe5d0b83d9,604,717
core::slice::sort::stable::tiny::mergesort::hc431e70f6c00f21b,604,717
protobuf::rt::message::read_singular_message_into_field::h2018cb9000485907,588,717
core::ptr::drop_in_place$LT$regex_automata..nfa..thompson..compiler..Compiler$GT$::heb8e403cc2856ca7,560,716
tokio::runtime::scheduler::current_thread::_$LT$impl$u20$tokio..runtime..task..Schedule$u20$for$u20$alloc..sync..Arc$LT$tokio..runtime..scheduler..current_thread..Handle$GT$$GT$::release::he63fbabcc31403da,456,716
_$LT$ahash..hash_map..AHashMap$LT$K$C$V$GT$$u20$as$u20$core..convert..From$LT$$u5b$$LP$K$C$V$RP$$u3b$$u20$N$u5d$$GT$$GT$::from::h17d5297762561fe7,512,715
core::ptr::drop_in_place$LT$bd_workflows..sankey_diagram..Processor..perform_upload_intent_negotiation..$u7b$$u7b$closure$u7d$$u7d$$GT$::heb45c223040bad35,504,715
std::sys::thread_local::os::destroy_value::h2b8805fcf32eb30c,600,715
tokio::runtime::signal::Driver::process::h6eaa132a57c2db71,604,715
_$LT$alloc..vec..Vec$LT$T$C$A$GT$$u20$as$u20$core..clone..Clone$GT$::clone::h12453c2fc061bf2c,564,714
_$LT$bd_proto..protos..log_matcher..log_matcher..log_matcher..base_log_matcher..TagMatch$u20$as$u20$protobuf..message..Message$GT$::compute_size::h65f84e0eed576bc6,492,714
alloc::collections::btree::node::Handle$LT$alloc..collections..btree..node..NodeRef$LT$alloc..collections..btree..node..marker..Mut$C$K$C$V$C$alloc..collections..btree..node..marker..Internal$GT$$C$alloc..collections..btree..node..marker..KV$GT$::split::ha90733b338980119,388,714
alloc::sync::Arc$LT$T$C$A$GT$::drop_slow::hfc6329094c40d872,600,714
regex_syntax::ast::parse::ParserI$LT$P$GT$::bump::h8b1ca740c7985ff5,592,714
regex_syntax::unicode::symbolic_name_normalize::h076e581a69bfc6e1,592,714
core::ptr::drop_in_place$LT$alloc..boxed..Box$LT$tokio..runtime..task..core..Cell$LT$tokio..runtime..blocking..task..BlockingTask$LT$tokio..fs..create_dir..create_dir$LT$$RF$std..path..PathBuf$GT$..$u7b$$u7b$closure$u7d$$u7d$..$u7b$$u7b$closure$u7d$$u7d$$GT$$C$tokio..runtime..blocking..schedule..BlockingSchedule$GT$$GT$$GT$::h8f00fc28d0f3a2d7,312,713
core::ptr::drop_in_place$LT$bd_log_primitives..Log$GT$::h68ce7c216f7e3138,584,713
core::ptr::drop_in_place$LT$bd_log_primitives..Log$GT$::hc04fdd2c9d3e5602,584,713
core::ptr::drop_in_place$LT$bd_log_primitives..Log$GT$::hfda8b2cb76954438,584,713
core::ptr::drop_in_place$LT$futures_util..future..join_all..JoinAll$LT$tokio..sync..oneshot..Receiver$LT$$LP$$RP$$GT$$GT$$GT$::h9afac8592e404165,512,713
jni::wrapper::java_vm::vm::JavaVM::get_env::h2ecd237f2520a5be,600,713
std::fs::OpenOptions::_open::hf23badb3be5c382a,612,713
core::ptr::drop_in_place$LT$bd_workflows..sankey_diagram..Processor..upload_sankey_path..$u7b$$u7b$closure$u7d$$u7d$$GT$::h0139c1c65a532aad,516,712
jni::wrapper::jnienv::JNIEnv::call_method_unchecked::hf8db89f0300f274d,588,712
tokio::runtime::blocking::create_blocking_pool::hdfd32961b1190918,592,712
alloc::collections::btree::map::IntoIter$LT$K$C$V$C$A$GT$::dying_next::h03bab24ada1732f6,568,711
alloc::collections::btree::map::IntoIter$LT$K$C$V$C$A$GT$::dying_next::h0b7a9fcc209fc044,568,711
alloc::collections::btree::map::IntoIter$LT$K$C$V$C$A$GT$::dying_next::h47dce8547a723da5,568,711
alloc::collections::btree::map::IntoIter$LT$K$C$V$C$A$GT$::dying_next::ha56fa82ac60d03a0,568,711
alloc::collections::btree::map::IntoIter$LT$K$C$V$C$A$GT$::dying_next::hb5bde6041e62074b,568,711
alloc::collections::btree::map::IntoIter$LT$K$C$V$C$A$GT$::dying_next::hd58da885f0d4d347,568,711
alloc::collections::btree::map::IntoIter$LT$K$C$V$C$A$GT$::dying_next::hefe316ac2bae5631,568,711
core::ptr::drop_in_place$LT$$LP$i32$C$signal_hook_registry..Slot$RP$$GT$::hb1ae6a102761d5f0,564,711
core::ptr::drop_in_place$LT$alloc..boxed..Box$LT$tokio..runtime..task..core..Cell$LT$tokio..runtime..blocking..task..BlockingTask$LT$tokio..fs..remove_file..remove_file$LT$std..path..PathBuf$GT$..$u7b$$u7b$closure$u7d$$u7d$..$u7b$$u7b$closure$u7d$$u7d$$GT$$C$tokio..runtime..blocking..schedule..BlockingSchedule$GT$$GT$$GT$::h77adc257a92482bd,312,711
tokio::runtime::scheduler::current_thread::Context::park_yield::h14b0da4e6eb09699,576,711
